id,long_name,is_in_sydney
701_SC01,Kiama to Bomaderry,False
701_SC01,Kiama to Bomaderry,False
701_SC01,Kiama to Bomaderry,False
701_SH100,Moss Vale to Goulburn,False
2501_545,Macquarie Park to Parramatta via Eastwood and Telopea,True
2501_668,Richmond to Windsor via Glossodia and Wilberforce,True
2501_669,Wilberforce to Sackville via Ebenezer,False
2501_671,Riverstone to Windsor via McGraths Hill and Vineyard,True
2501_672,Windsor to Wisemans Ferry (Loop Service),True
2501_673,Penrith to Windsor via Cranebrook,True
2501_674,Mount Druitt to Windsor via Shanes Park and Bligh Park,True
2501_675A,Windsor to Richmond via RAAF Base and Bligh Park (Loop Service),True
2501_675C,Windsor to Richmond via Bligh Park and RAAF Base (Loop Service),True
2501_676,Windsor to South Windsor (Loop Service),True
2501_677,Penrith to Richmond via Londonderry,True
2501_678,Penrith to Richmond via Cranebrook,True
2501_679,Windsor to Maraylya via McGraths Hill,True
2501_680,Richmond to Bowen Mountain via Grose Vale and Grose Wold (Loop Service),True
2501_682,Richmond to Kurrajong via Berambing (Loop Service),True
2501_718,Seven Hills to Kings Langley,True
2501_721,Blacktown to Blacktown Hospital (Loop Service),True
2501_722,Blacktown to Prospect via Flushcombe Rd (Loop Service),True
2501_723,Blacktown to Mount Druitt via Eastern Creek,True
2501_724,Blacktown to Arndell Park via Huntingwood (Loop Service),True
2501_726,Blacktown to Doonside via Monash Rd (Loop Service),True
2501_728,Blacktown to Mount Druitt,True
2501_729,Blacktown to Mount Druitt via Minchinbury,True
2501_730,Blacktown to Castle Hill via Glenwood and Norwest,True
2501_731,Blacktown to Rouse Hill Station via Stanhope Gardens,True
2501_732,Blacktown to Rouse Hill Station via The Ponds,True
2501_734,Blacktown to Riverstone via Schofields,True
2501_735,Rouse Hill to Blacktown (Loop Service),True
2501_738,Mount Druitt to Eastern Creek via Rooty Hill (Loop Service),True
2501_739V,Mount Druitt to Mount Druitt South (Loop Service),True
2501_740,Rouse Hill to Gables,True
2501_741,Riverstone to Oakville via Box Hill and Maraylya,True
2501_742,Rouse Hill Station to Marsden Park,True
2501_743,Blacktown to Kings Langley,True
2501_744,Blacktown to Blacktown Industrial Area,True
2501_745,St Marys to Norwest Private Hospital via Stanhope Gardens,True
2501_746,Rouse Hill to Riverstone,True
2501_747,Rouse Hill Station to Mount Druitt via Riverstone and Marsden Park,True
2501_748,Tallawong Station to Melonba via Schofields,True
2501_750,Blacktown to Mount Druitt via Bidwill,True
2501_751,Blacktown to Melonba via Colebee,True
2501_752,Blacktown to Rouse Hill Station via Quakers Hill,True
2501_753,Blacktown to Doonside (Loop Service),True
2501_754,Blacktown to Mount Druitt via Hassall Grove,True
2501_755,Mount Druitt to Shalvey and Plumpton Marketplace,True
2501_756,Blacktown to Mount Druitt via Woodcroft and Plumpton,True
2501_758,St Marys to Mount Druitt via Tregear and Shalvey,True
2501_759,St Marys to Mount Druitt via Ropes Crossing,True
2501_761,Mount Druitt to Bidwill (Loop Service),True
2501_770,Penrith to Mount Druitt via St Marys,True
2501_771,Mount Druitt to St Marys via Colyton,True
2501_774,Penrith to Mount Druitt via Nepean Hospital,True
2501_775,Penrith to Mount Druitt via Erskine Park,True
2501_776,Penrith to Mount Druitt via St Clair,True
2501_779,Kemps Creek to St Marys via Erskine Park,True
2501_780,Mount Druitt to Penrith via Ropes Crossing,True
2501_781,Penrith to St Marys via Glenmore Park,True
2501_782,Penrith to St Marys via Werrington,True
2501_783,Penrith to Werrington via Jordan Springs,True
2501_784,Penrith to Cranebrook (Loop Service),True
2501_785,Werrington to Penrith via Cambridge Park,True
2501_786,Penrith to Cranebrook via North Penrith (Loop Service),True
2501_789,Penrith to Luddenham,True
2501_791,Penrith to Jamisontown via South Penrith (Loop Service),True
2501_793,Penrith to South Penrith (Loop Service),True
2501_794,Penrith to Glenmore Park via The Northern Rd,True
2501_795,Warragamba to Penrith,True
2501_797,Penrith to Glenmore Park (Loop Service),True
2501_799,Penrith to Glenmore Park via Regentville,True
2501_S11,St Marys to St Clair (Loop Service),True
2501_S13,Penrith to Mountainview Retreat Retirement Village (Loop Service),True
2501_S7,Blacktown to Myrtle Glen Stanhope Gardens,True
2502_31,"Camden to Cut Hill Rd, Cobbitty via Coates Park Rd",True
2502_32,Camden to Warragamba via Theresa Park and Werombi,True
2502_38,Camden to Spring Creek and Brownlow Hill (Loop Service),True
2502_39,Camden to The Oaks via Mowbray Park and Belimbla Park,True
2502_40,Camden to Belimbla Park and Oakdale via The Oaks (Loop Service),True
2502_49,Camden to Menangle and Razorback (Loop Service),True
2502_840,Campbelltown Hospital to Oran Park,True
2502_841,Leppington to Narellan via Gregory Hills,True
2502_850,Minto to Narellan Town Centre,True
2502_851,Liverpool to Carnes Hill Marketplace via Cowpasture Rd,True
2502_852,Liverpool to Carnes Hill Marketplace via Greenway Dr and Cowpasture Rd,True
2502_853,Liverpool to Carnes Hill via Hoxton Park Rd,True
2502_854,Liverpool to Carnes Hill via Greenway Dr and Hoxton Park Rd,True
2502_855,Liverpool to Rutleigh Park via Austral and Leppington Station,True
2502_856,Liverpool to Bringelly,True
2502_857,Liverpool to Narellan,True
2502_858,Leppington to Oran Park Town Centre,True
2502_859,Edmondson Park Station to Carnes Hill,True
2502_861,Carnes Hill to Denham Court via Austral,True
2502_864,Glenfield to Carnes Hill via Horningsea Park,True
2502_865,Liverpool to Casula Mall via Lurnea Shops,True
2502_866,Liverpool to Casula Mall,True
2502_867,Glenfield to Prestons,True
2502_868,Ingleburn to Edmondson Park Station,True
2502_869,Liverpool to Ingleburn via Prestons and Edmondson Park,True
2502_870,Liverpool to Campbelltown via Glenfield,True
2502_871,Liverpool to Campbelltown,True
2502_872,Liverpool to Campbelltown via Macquarie Fields,True
2502_873,Ingleburn to Minto,True
2502_874,Minto to Raby (Loop Service),True
2502_875,Minto to St Andrews (Loop Service),True
2502_876,Macquarie Fields Station to Eucalyptus Dr (Loop Service),True
2502_877,Campbelltown to Kearns via Eagle Vale and Eschol Park (Loop Service),True
2502_878,Kearns to Campbelltown via Eschol Park,True
2502_879,Campelltown to Leumeah Station via Blair Athol,True
2502_880,Campbelltown to Minto via Eagle Vale and Kearns,True
2502_881,Campbelltown to Leumeah North (Loop Service),True
2502_882,Campbelltown to Leumeah South (Loop Service),True
2502_883K,Campbelltown to Kentlyn via Ruse,True
2502_883,Campbelltown to Ruse (Loop Service),True
2502_884,Campbelltown to Airds (Loop Service),True
2502_884W,Campbelltown to Wedderburn via Airds,True
2502_885A,Campbelltown to Bradbury via Airds (Loop Service),True
2502_885,Campbelltown to Bradbury and St Helens Park North (Loop Service),True
2502_886,Campbelltown to Glen Alpine (Loop Service),True
2502_887,Campbelltown to Wollongong via Appin,True
2502_888,Campbelltown to St Helens Park via Ambarvale and Rosemeadow (Loop Service),True
2502_889,Campbelltown to Menangle via Menangle Park,True
2502_890C,Campbelltown to Camden via Narellan,True
2502_890,Campbelltown to Harrington Park via Narellan Vale and Narellan (Loop Service),True
2502_891,Campbelltown to Mount Annan via Currans Hill,True
2502_892,Campbelltown to Mount Annan via Narellan Vale (Loop Service),True
2502_893,Campbelltown to Narellan via Spring Farm and Elderslie,True
2502_894,Campbelltown to Bridgewater Estate via Narellan and Camden,True
2502_894X,Campbelltown to Bridgewater Estate via Camden bypass,True
2502_895,Campbelltown to Camden South via Camden (Loop Service),True
2502_896,Campbelltown to Oran Park via Gregory Hills (Loop Service),True
2502_897,Campbelltown to Smeaton Grange,True
2502_898,Campbelltown to Harrington Park via Narellan Rd,True
2502_899,Camden to Catherine Field,True
2502_S17,Camden to Narellan via Spring Farm,True
2503_800,Fairfield to Blacktown via Pemulwuy,True
2503_801,Liverpool to Badgerys Creek,True
2503_802,Parramatta to Liverpool via Guildford West,True
2503_803,Liverpool to Miller (Loop Service),True
2503_804,Parramatta to Liverpool via Fairfield West,True
2503_805,Cabramatta to Liverpool via Bonnyrigg,True
2503_806,Parramatta to Liverpool via Abbotsbury,True
2503_807,Cabramatta to Cecil Hills via Bonnyrigg,True
2503_808,Fairfield to Liverpool via Abbotsbury,True
2503_809,Merrylands to Pemulwuy via South Wentworthville,True
2503_810X,Parramatta to Merrylands via Pemulwuy,True
2503_811X,Parramatta to Pemulwuy via Beresford Rd,True
2503_812,Fairfield to Blacktown via Prospect Hwy,True
2503_813,Fairfield to Western Sydney Parklands and Bonnyrigg,True
2503_814,Fairfield to Smithfield and Wetherill Park Industrial Area (Loop Service),True
2503_815,Cabramatta to Mount Pritchard (Loop Service),True
2503_816,Cabramatta to Greenfield Park (Loop Service),True
2503_817,Fairfield to Cabramatta via Edensor Park,True
2503_818,Merrylands to Westmead Hospitals,True
2503_819,Liverpool to Prairiewood via Orange Grove Rd (Loop Service),True
2503_820,Merrylands to Guildford via Woodpark,True
2503_821,Guildford to Woodpark or Smithfield Industrial Area,True
2503_822,Merrylands to Guildford (Loop Service),True
2503_823,Liverpool to Warwick Farm (Loop Service),True
2503_824,Parramatta to Westmead Hospitals via South Wentworthville,True
2503_827,Liverpool to Carnes Hill,True
2503_835,Prairiewood to WSU Penrith,True
2503_901,Liverpool to Holsworthy via Wattle Grove,True
2503_902,Liverpool  to Holsworthy via Moorebank,True
2503_902X,Holsworthy to Sandy Point via Voyager Point,True
2503_903,Liverpool to Chipping Norton (Loop Service),True
2503_904,Liverpool to Fairfield,True
2503_905,Fairfield to Bankstown,True
2503_906,Fairfield to Parramatta,True
2503_907,Parramatta to Bankstown via Bass Hill,True
2503_908,Bankstown to Merrylands via Auburn and Birrong,True
2503_909,Parramatta to Bankstown via Auburn and Birrong,True
2503_911,Bankstown to Auburn via Georges Hall,True
2503_913,Bankstown to Strathfield,True
2503_914,Strathfield to Greenacre,True
2503_916,Guildford to Chester Hill,True
2503_925,Lidcombe to East Hills via Bankstown,True
2503_M90,Burwood to Liverpool,True
2503_M91,Parramatta to Hurstville via Chester Hill and Padstow,True
2503_N30,City Town Hall to Macarthur (Night Service),True
2503_N40,City Town Hall to East Hills (Night Service),True
2503_S10,Heckenberg to Miller Shops,True
2503_S1,Cabramatta to Lansvale (Loop Service),True
2503_S2,Granville to Sefton,True
2503_S3,Auburn to Chrisholm Road,True
2503_S4,Fairfield to Chester Hill via Villawood and Carramar,True
2503_S5,Padstow to Milperra via Panania,True
2503_T80,Parramatta to Liverpool via T-way,True
2504_590,Pennant Hills to Hornsby via Normanhurst,True
2504_600,Parramatta to Pennant Hills via Castle Hill,True
2504_601,Parramatta to Rouse Hill Station via Hills Showground,True
2504_603,Parramatta to Rouse Hill Station via Glenhaven,True
2504_604,Parramatta to Dural via Castle Hill,True
2504_605,Rouse Hill Station to North Kellyville,True
2504_606,Parramatta to Winston Hills,True
2504_607X,City QVB to Bella Vista Station (Express Service),True
2504_608,Rouse Hill to Windsor,True
2504_609,Parramatta to North Parramatta (Loop Service),True
2504_610X,City QVB to Castle Hill (Express Service),True
2504_611,Macquarie Park to Blacktown via M2 Mwy,True
2504_612X,North Sydney to Castle Hill (Express Service),True
2504_613X,City QVB to Bella Vista (Express Service),True
2504_614X,City QVB to Crestwood (Express Service),True
2504_615X,City QVB to Kellyville and North Kellyville (Express Service),True
2504_616X,City QVB to Kellyville Ridge (Express Service),True
2504_617,Kellyville Station to Rouse Hill via Beaumont Hills,True
2504_620X,City Wynyard to Dural via Cherrybrook (Express Service),True
2504_622,Milsons Point to Dural via Cherrybrook,True
2504_625,Parramatta to Pennant Hills,True
2504_626,Pennant Hills to Kellyville via Cherrybrook,True
2504_630,Epping to Blacktown via Baulkham Hills,True
2504_632,Pennant Hills to Rouse Hill Station via Norwest and Castle Hill,True
2504_633,Pennant Hills to Rouse Hill via Kellyville and Castle Hill,True
2504_635,Beecroft to Castle Hill via West Pennant Hills,True
2504_637,Castle Hill to Glenorie via Round Corner and Galston,True
2504_638,Castle Hill or Pennant Hills to Berrilee and Berowra Waters,True
2504_639,Castle Hill to Kenthurst and Maraylya,True
2504_640,Kenthurst Pitt Town Rd to Kenthurst Cadwells Rd,True
2504_641,Dural to Rouse Hill,True
2504_642X,City Wynyard to Dural (Express Service),True
2504_643,Rouse Hill to Gables via Box Hill,True
2504_651,Epping to Rouse Hill Station via Castle Hill,True
2504_652X,City Wynyard to West Pennant Hills (Express Service),True
2504_660,Parramatta to Castlewood via Norwest,True
2504_661,Parramatta to Blacktown via North West Twy and Kings Langley,True
2504_662,Parramatta to Castle Hill via North West Twy and Bella Vista,True
2504_663,Parramatta to Rouse Hill Station via Glenwood,True
2504_664,Parramatta to Rouse Hill Station via Norwest,True
2504_665,Parramatta to Rouse Hill Station,True
2504_700,Parramatta to Blacktown,True
2504_702,Seven Hills to Blacktown,True
2504_705,Parramatta to Blacktown via Pendle Hill,True
2504_706,Parramatta to Blacktown via Kings Langley and Winston Hills,True
2504_708,Parramatta to Constitution Hill Retirement Community via Pendle Hill,True
2504_709,Wentworthville Shopping Plaza to Constitution Hill Retirement Community,True
2504_711,Parramatta to Blacktown via Constitution Hill,True
2504_714,Seven Hills to Norwest Station via Crestwood,True
2504_715,Seven Hills to Rouse Hill Station via Norwest and Kellyville,True
2504_N31,Liverpool to Leppington (Night Service),True
2504_N50,City Town Hall to Liverpool via Strathfield (Night Service),True
2504_N60,City Town Hall to Fairfield via Strathfield (Night Service),True
2504_N61,City Town Hall to Carlingford via Strathfield (Night Service),True
2504_N70,City Town Hall to Penrith via Parramatta (Night Service),True
2504_N71,City Town Hall to Richmond via Parramatta (Night Service),True
2504_N92,City Town Hall to Tallawong via Macquarie Park (Night Service),True
2507_113,Royal North Shore Hospital to Chatswood,True
2507_115,Chatswood to North Sydney Station (Loop Service),True
2507_119,Gore Hill to North Sydney Station (Loop Service),True
2507_120,Chatswood to City QVB (Loop Service),True
2507_202,City Bridge St to Northbridge via North Sydney,True
2507_203,Milsons Point to Castlecrag via North Sydney,True
2507_204,City Bridge St to Northbridge via Freeway,True
2507_205,City Bridge St to East Willoughby via Freeway,True
2507_206,City Bridge St to East Lindfield via Freeway,True
2507_207,City Bridge St to East Lindfield via North Sydney,True
