stop_id,name
207720,Hornsby Station
207730,Asquith Station
207910,Mount Colah Station
208010,Mount Kuring-gai Station
208110,Berowra Station
208120,Cowan Station
208310,Hawkesbury River Station
213110,Ashfield Station
213210,Croydon Station
213410,Burwood Station
213510,Strathfield Station
214240,Granville Station
214510,Westmead Station
214520,Wentworthville Station
214530,Pendle Hill Station
214610,Toongabbie Station
214710,Seven Hills Station
214810,Blacktown Station
215020,Parramatta Station
223210,Sutherland Station
223220,Loftus Station
223310,Engadine Station
223320,Heathcote Station
223330,Waterfall Station
225020,Tascott Station
225030,Point Clare Station
225040,Gosford Station
225060,Niagara Park Station
225070,Lisarow Station
2250772,Narara Station
225610,Woy Woy Station
225620,Koolewong Station
225810,Ourimbah Station
225910,Tuggerah Station
225920,Wyong Station
250020,Wollongong Station
250530,Port Kembla North Station
250540,Port Kembla Station
250810,Helensburgh Station
250830,Otford Station
250850,Coalcliff Station
251510,Scarborough Station
251550,Thirroul Station
251610,Bulli Station
251710,Woonona Station
251810,Bellambi Station
251830,Towradgi Station
252610,Unanderra Station
252920,Oak Flats Station
253010,Kembla Grange Station
253020,Dapto Station
253310,Minnamurra Station
253320,Bombo Station
253330,Kiama Station
253420,Gerringong Station
253510,Berry Station
254110,Bomaderry Station
256020,Campbelltown Station
256030,Macarthur Station
256310,Menangle Park Station
256810,Menangle Station
256910,Douglas Park Station
257110,Picton Station
257310,Tahmoor Station
257420,Bargo Station
257510,Mittagong Station
257540,Yerrinbool Station
257610,Bowral Station
257620,Burradoo Station
257710,Moss Vale Station
257810,Bundanoon Station
257910,Wingello Station
257920,Penrose Station
257930,Exeter Station
257940,Marulan Station
257950,Tallong Station
258010,Goulburn Station
275010,Penrith Station
275020,Emu Plains Station
275030,Lapstone Station
276010,St Marys Station
276610,Rooty Hill Station
276710,Doonside Station
277010,Mount Druitt Station
277310,Glenbrook Station
277410,Blaxland Station
277420,Warrimoo Station
277710,Valley Heights Station
277720,Springwood Station
211310,Macquarie University Station
211340,Macquarie Park Station
212210,Eastwood Station
2153477,Norwest Station
2153478,Bella Vista Station
2154391,Castle Hill Station
2154392,Hills Showground Station
2155382,Kellyville Station
2155383,Rouse Hill Station
2155384,Tallawong Station
274710,Werrington Station
274720,Kingswood Station
275310,East Richmond Station
275320,Richmond Station
275620,Windsor Station
276220,Schofields Station
276310,Quakers Hill Station
276510,Riverstone Station
216710,Glenfield Station
217020,Liverpool Station
217426,Edmondson Park Station
217933,Leppington Station
256010,Leumeah Station
256410,Macquarie Fields Station
256510,Ingleburn Station
256610,Minto Station
200070,Town Hall Station
204210,Newtown Station
214110,Lidcombe Station
214120,Berala Station
214310,Regents Park Station
214410,Auburn Station
216010,Merrylands Station
216110,Guildford Station
216210,Sefton Station
216220,Chester Hill Station
216310,Leightonfield Station
216320,Villawood Station
